date,ini_time,sw_type,band_type,ongoing,curvature,0_trof_time,4_inext,3_inext,2_inext,1_inext,0_inext,1_inext,2_inext,3_inext,4_inext,delta(4by2),delta(2by0),delta(0by2),delta(2by4),delta(4 by 0),delta(0by4),delta(4by1),delta(1by1),delta(1by4),delta(4by3),delta(3by2),delta(2by1),delta(1by0),delta(1by0),delta(2-1),delta(3-2),delta(4-3),4_angle,3_angle,2_angle,1_angle,0_angle,1_angle,2_angle,3_angle,4_angle,4_width,3_width,2_width,1_width,0_width,1_width,2_width,3_width,4_width,4_move,3_move,2_move,1_move,0_move,1_move,2_move,3_move,4_move,4_str,2_str,0_str,2_str,4_str,d(2-4)_width,d(0-2)_width,d(2-0)_width,d(4-2)_width,d(2-4)_move,d(0-2)_move,d(2-0)_move,d(4-2)_move
31/12/2015,15,4,1,1,1,18,113.5,84.1,127.4,155.2,128.5,139.9,152.5,112.3,123.9,-29.4,1.1,24,11.6,15,-4.6,41.7,-15.3,-16,-29.4,43.3,27.8,-26.7,11.4,12.6,-40.2,11.6,270,270,265,265,280,270,275,275,275,27,16.6,45.1,20.5,18.4,51.9,15.9,7.9,9.8,73.8,68.4,59.2,64.1,63.5,58,59.2,50.7,48.8,1,2,2,2,2,18.1,-26.7,-2.5,-6.1,-14.6,4.3,-4.3,-10.4
1/1/2016,18,3,1,1,1,0,234.6,275.4,258.1,245,196.7,265.3,264.5,306.4,203.8,40.8,-61.4,67.8,-102.6,-37.9,7.1,10.4,20.3,-61.5,40.8,-17.3,-13.1,-48.3,68.6,-0.8,41.9,-102.6,260,260,270,270,265,260,290,280,280,47.2,24,47.2,62,55.4,29.2,50.1,40.3,23.2,47.6,22.6,35.4,35.4,27.5,35.4,30.5,0,25.6,3,1,1,2,1,0,8.2,-5.3,-26.9,-12.2,-7.9,3,-4.9
2/1/2016,15,3,1,1,1,0,234.3,277.4,282.9,293.9,238.2,261.5,269.9,290.5,217.6,43.1,-44.7,31.7,-72.9,3.9,-20.6,59.6,-32.4,-43.9,43.1,5.5,11,-55.7,23.3,8.4,20.6,-72.9,260,270,270,270,260,260,280,280,280,8.1,4.5,9.1,9.8,NA,NA,NA,NA,NA,38.5,22.6,25.6,42.1,26.2,0,19.5,26.9,20.7,2,3,NA,NA,NA,1,,NA,NA,-12.9,0.6,-6.7,1.2
3/1/2016,15,5,1,1,0,21,196.3,227.2,258.1,223.1,102.1,0,0,0,0,30.9,-156,-102.1,0,-94.2,-102.1,26.8,-223.1,0,30.9,30.9,-35,-121,-102.1,0,0,0,270,270,270,270,270,270,285,290,285,36.7,33.1,26.9,28.1,23.1,19.1,17.2,13.3,37.4,53.7,34.2,31.1,9.8,14,11.6,-9.2,9.8,-15.9,1,1,2,3,3,-9.8,-3.8,-5.9,20.2,-22.6,-17.1,-23.2,-6.7
11/1/2016,12,2,1,1,0,18,239.4,281.1,268.5,260.5,247.5,264.7,153.4,156.9,272,41.7,-21,-94.1,115.1,8.1,24.5,21.1,4.2,7.3,41.7,-12.6,-8,-13,17.2,-111.3,3.5,115.1,270,270,270,270,270,270,270,270,270,34.9,26.9,33.6,36,26.2,31.2,34.2,25.6,25,65.9,58.6,57.4,57.4,59.2,54.9,53.1,57.4,54.9,2,2,2,2,3,-1.3,-7.4,8,-9.2,-8.5,1.8,-6.1,1.8
12/1/2016,21,2,1,1,1,3,258.3,270.9,242.5,83.1,99.2,75,76.6,64.7,70,12.6,-143.3,-22.6,5.3,-159.1,-29.2,-175.2,-8.1,-5,12.6,-28.4,-159.4,16.1,-24.2,1.6,-11.9,5.3,270,270,270,270,280,280,270,270,270,31.2,39.1,36,31.2,40.3,25.7,18.3,22,39.1,62.3,60.4,65.9,75.1,75.1,83,90.9,104.4,113.5,NA,NA,1,2,2,4.8,4.3,-22,20.8,3.6,9.2,15.8,22.6
18/1/2016,18,2,1,1,0,6,0,0,0,59.8,64.3,99.5,119.4,117.3,116.3,0,64.3,55.1,-1,64.3,52,59.8,39.7,16.8,0,0,59.8,4.5,35.2,19.9,-2.1,-1,NA,NA,270,275,275,275,280,285,290,NA,NA,30.1,30.7,27.5,17.8,23.4,25.8,25,NA,NA,NA,61.6,45.8,50.7,54.3,54.9,17.1,NA,NA,1,1,3,NA,-2.6,-4.1,1.6,,,8.5,-37.2
27/1/2016,12,5,1,1,1,0,0,0,0,0,112.9,155.6,142.9,139.8,240.6,0,112.9,30,100.8,112.9,127.7,0,155.6,85,0,0,0,112.9,42.7,-12.7,-3.1,100.8,270,270,270,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,18,32.9,92.6,78.5,54.9,67.9,66.5,67.2,67.1,59.2,3.1,-42.1,-40.2,2,3,1,1,1,NA,NA,21.8,45.6,11.6,0.6,-64,-43.3
11/2/2016,6,5,1,1,1,12,170.2,251.1,254.4,266.5,178.9,57.7,50.2,141.7,188,80.9,-75.5,-128.7,46.3,8.7,9.1,96.3,-208.8,130.3,80.9,3.3,12.1,-87.6,-121.2,-7.5,91.5,46.3,275,270,275,260,270,270,280,280,290,22.7,21.4,20.8,25,11.8,9.8,11.9,9.5,5.1,31.1,32.4,31.2,24.4,12.2,39.7,30.5,30.5,17.7,1,1,3,2,3,-1.9,-9,0.1,-6.8,0.1,-19,18.3,-12.8
2/12/2016,21,3,1,1,1,21,123.1,159.3,210.1,246.9,322.5,275.6,288.7,274.3,279.9,36.2,112.4,-33.8,5.6,199.4,-42.6,123.8,28.7,4.3,36.2,50.8,36.8,75.6,-46.9,13.1,-14.4,5.6,280,275,265,260,260,270,270,270,270,16,NA,NA,81.8,58.6,63,37.2,63.2,77.5,77.5,62.9,56.1,54.9,40.9,35.4,22,10.1,14.1,1,1,1,1,3,NA,NA,-21.4,40.3,-21.4,-15.2,-18.9,-7.9
